symbol,source_symbol,security,index,sector,industry,subindustry,snapshot_date
BF-B,BF.B,Brown–Forman,S&P 500,Consumer Staples,Beverages,Distillers & Vintners,2026-07-15
BFAM,BFAM,Bright Horizons Family Solutions Inc.,S&P SmallCap 600,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,2026-07-15
BFH,BFH,"Bread Financial Holdings, Inc.",S&P SmallCap 600,Financials,Consumer Finance,Consumer Finance,2026-07-15
BFS,BFS,"Saul Centers, Inc.",S&P SmallCap 600,Real Estate,Retail REITs,Retail REITs,2026-07-15
BG,BG,Bunge Global,S&P 500,Consumer Staples,Food Products,Agricultural Products & Services,2026-07-15
BGC,BGC,"BGC Group, Inc.",S&P SmallCap 600,Financials,Capital Markets,Investment Banking & Brokerage,2026-07-15
BHE,BHE,"Benchmark Electronics, Inc.",S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,2026-07-15
BHF,BHF,Brighthouse Financial,S&P MidCap 400,Financials,Insurance,Life & Health Insurance,2026-07-15
BIIB,BIIB,Biogen,S&P 500,Health Care,Biotechnology,Biotechnology,2026-07-15
BILL,BILL,Bill Holdings,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
BIO,BIO,Bio-Rad Laboratories,S&P MidCap 400,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,2026-07-15
BJ,BJ,BJ's Wholesale Club,S&P MidCap 400,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,2026-07-15
BJRI,BJRI,"BJ's Restaurants, Inc.",S&P SmallCap 600,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
BKE,BKE,"The Buckle, Inc.",S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Apparel Retail,2026-07-15
BKH,BKH,Black Hills Corporation,S&P MidCap 400,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
BKNG,BKNG,Booking Holdings,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
BKR,BKR,Baker Hughes,S&P 500,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
BKU,BKU,"BankUnited, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
BL,BL,"BlackLine Systems, Inc.",S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
BLD,BLD,TopBuild Corp.,S&P MidCap 400,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
BLDR,BLDR,Builders FirstSource,S&P 500,Industrials,Building Products,Building Products,2026-07-15
BLFS,BLFS,"BioLife Solutions, Inc.",S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2026-07-15
BLK,BLK,BlackRock,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
BLKB,BLKB,Blackbaud,S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
BMI,BMI,"Badger Meter, Inc.",S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2026-07-15
BMRN,BMRN,BioMarin Pharmaceutical,S&P MidCap 400,Health Care,Biotechnology,Biotechnology,2026-07-15
