symbol,source_symbol,security,index,sector,industry,subindustry,snapshot_date
CRWD,CRWD,CrowdStrike,S&P 500,Information Technology,Software,Systems Software,2026-07-15
CSCO,CSCO,Cisco,S&P 500,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
CSGP,CSGP,CoStar Group,S&P 500,Real Estate,Real Estate Management & Development,Real Estate Services,2026-07-15
CSL,CSL,Carlisle Companies,S&P MidCap 400,Industrials,Industrial Conglomerates,Industrial Conglomerates,2026-07-15
CSR,CSR,Centerspace Trust,S&P SmallCap 600,Real Estate,Residential REITs,Multi-Family Residential REITs,2026-07-15
CSW,CSW,"CSW Industrials, Inc.",S&P SmallCap 600,Industrials,Industrial Conglomerates,Industrial Conglomerates,2026-07-15
CSX,CSX,CSX Corporation,S&P 500,Industrials,Ground Transportation,Rail Transportation,2026-07-15
CTAS,CTAS,Cintas,S&P 500,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
CTRE,CTRE,CareTrust REIT,S&P MidCap 400,Real Estate,Health Care REITs,Health Care REITs,2026-07-15
CTS,CTS,CTS Corporation,S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,2026-07-15
CTSH,CTSH,Cognizant,S&P 500,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
CTVA,CTVA,Corteva,S&P 500,Materials,Chemicals,Fertilizers & Agricultural Chemicals,2026-07-15
CUBE,CUBE,CubeSmart,S&P MidCap 400,Real Estate,Industrial REITs,Industrial REITs,2026-07-15
CUBI,CUBI,"Customers Bancorp, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CURB,CURB,Curbline Properties Corp.,S&P SmallCap 600,Real Estate,Retail REITs,Retail REITs,2026-07-15
CUZ,CUZ,Cousins Properties,S&P MidCap 400,Real Estate,Office REITs,Office REITs,2026-07-15
CVBF,CVBF,CVB Financial Corp.,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
CVCO,CVCO,"Cavco Industries, Inc.",S&P SmallCap 600,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
CVI,CVI,"CVR Energy, Inc.",S&P SmallCap 600,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,2026-07-15
CVLT,CVLT,CommVault Systems,S&P MidCap 400,Information Technology,Software,Systems Software,2026-07-15
CVNA,CVNA,Carvana,S&P 500,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
CVS,CVS,CVS Health,S&P 500,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
CVSA,CVSA,Covista Inc.,S&P SmallCap 600,Consumer Discretionary,Diversified Consumer Services,Education Services,2026-07-15
CVX,CVX,Chevron Corporation,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,2026-07-15
CW,CW,Curtiss-Wright,S&P MidCap 400,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
CWEN,CWEN,"Clearway Energy, Inc. (Class C)",S&P SmallCap 600,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity,2026-07-15
CWEN-A,CWEN.A,"Clearway Energy, Inc. (Class A)",S&P SmallCap 600,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity,2026-07-15
CWK,CWK,Cushman & Wakefield plc,S&P SmallCap 600,Real Estate,Real Estate Management & Development,Real Estate Services,2026-07-15
CWST,CWST,"Casella Waste Systems, Inc.",S&P SmallCap 600,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,2026-07-15
CWT,CWT,California Water Service Group,S&P SmallCap 600,Utilities,Water Utilities,Water Utilities,2026-07-15
CXM,CXM,"Sprinklr, Inc.",S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
CXT,CXT,Crane NXT,S&P MidCap 400,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2026-07-15
CXW,CXW,CoreCivic,S&P SmallCap 600,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
CYTK,CYTK,Cytokinetics,S&P MidCap 400,Health Care,Biotechnology,Biotechnology,2026-07-15
CZR,CZR,Caesars Entertainment,S&P SmallCap 600,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,2026-07-15
D,D,Dominion Energy,S&P 500,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
DAL,DAL,Delta Air Lines,S&P 500,Industrials,Passenger Airlines,Passenger Airlines,2026-07-15
DAN,DAN,Dana Incorporated,S&P SmallCap 600,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
DAR,DAR,Darling Ingredients,S&P MidCap 400,Consumer Staples,Food Products,Agricultural Products & Services,2026-07-15
DASH,DASH,DoorDash,S&P 500,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,2026-07-15
DAVE,DAVE,"Dave, Inc.",S&P SmallCap 600,Financials,Consumer Finance,Consumer Finance,2026-07-15
DBD,DBD,Diebold Nixdorf,S&P SmallCap 600,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,2026-07-15
DBX,DBX,Dropbox,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
DCH,DCH,Dauch Corporation,S&P SmallCap 600,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
DCI,DCI,Donaldson Company,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
DCOM,DCOM,"Dime Community Bancshares, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
DD,DD,DuPont,S&P 500,Materials,Chemicals,Specialty Chemicals,2026-07-15
DDOG,DDOG,Datadog,S&P 500,Information Technology,Software,Application Software,2026-07-15
DE,DE,Deere & Company,S&P 500,Industrials,Machinery,Agricultural & Farm Machinery,2026-07-15
DEA,DEA,"Easterly Government Properties, Inc.",S&P SmallCap 600,Real Estate,Office REITs,Office REITs,2026-07-15
DECK,DECK,Deckers Brands,S&P 500,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear,2026-07-15
DEI,DEI,Douglas Emmett,S&P SmallCap 600,Real Estate,Office REITs,Office REITs,2026-07-15
DELL,DELL,Dell Technologies,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",2026-07-15
DFH,DFH,"Dream Finders Homes, Inc.",S&P SmallCap 600,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
DFIN,DFIN,"Donnelley Financial Solutions, Inc.",S&P SmallCap 600,Financials,Capital Markets,Financial Exchanges & Data,2026-07-15
DG,DG,Dollar General,S&P 500,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,2026-07-15
DGII,DGII,Digi International Inc.,S&P SmallCap 600,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
DGX,DGX,Quest Diagnostics,S&P 500,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
DHI,DHI,D. R. Horton,S&P 500,Consumer Discretionary,Household Durables,Homebuilding,2026-07-15
DHR,DHR,Danaher Corporation,S&P 500,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,2026-07-15
DINO,DINO,HF Sinclair,S&P MidCap 400,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,2026-07-15
DIOD,DIOD,Diodes Incorporated,S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
DIS,DIS,Walt Disney Company (The),S&P 500,Communication Services,Entertainment,Movies & Entertainment,2026-07-15
DKS,DKS,Dick's Sporting Goods,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Other Specialty Retail,2026-07-15
DLB,DLB,Dolby,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
DLR,DLR,Digital Realty,S&P 500,Real Estate,Specialized REITs,Data Center REITs,2026-07-15
DLTR,DLTR,Dollar Tree,S&P 500,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,2026-07-15
DLX,DLX,Deluxe Corporation,S&P SmallCap 600,Industrials,Commercial Services & Supplies,Commercial Printing,2026-07-15
DMC,DMC,Del Monte Corporation,S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
DNOW,DNOW,NOW Inc,S&P SmallCap 600,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,2026-07-15
DOC,DOC,Healthpeak Properties,S&P 500,Real Estate,Health Care REITs,Health Care REITs,2026-07-15
DOCN,DOCN,DigitalOcean,S&P MidCap 400,Information Technology,IT Services,Internet Services & Infrastructure,2026-07-15
DOCS,DOCS,Doximity,S&P MidCap 400,Health Care,Health Care Technology,Health Care Technology,2026-07-15
DOCU,DOCU,Docusign,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
DORM,DORM,"Dorman Products, Inc.",S&P SmallCap 600,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
DOV,DOV,Dover Corporation,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
DOW,DOW,Dow Inc.,S&P 500,Materials,Chemicals,Commodity Chemicals,2026-07-15
DPZ,DPZ,Domino's,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
DRH,DRH,DiamondRock Hospitality Company,S&P SmallCap 600,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,2026-07-15
DRI,DRI,Darden Restaurants,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
DT,DT,Dynatrace,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
DTE,DTE,DTE Energy,S&P 500,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
DTM,DTM,DT Midstream,S&P MidCap 400,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,2026-07-15
DUK,DUK,Duke Energy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
DUOL,DUOL,Duolingo,S&P MidCap 400,Consumer Discretionary,Diversified Consumer Services,Education Services,2026-07-15
DV,DV,"DoubleVerify Holdings, Inc.",S&P SmallCap 600,Communication Services,Media,Advertising,2026-07-15
DVA,DVA,DaVita,S&P 500,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
DVN,DVN,Devon Energy,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
DXC,DXC,DXC Technology,S&P SmallCap 600,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
DXCM,DXCM,Dexcom,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
DXPE,DXPE,"DXP Enterprises, Inc.",S&P SmallCap 600,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,2026-07-15
DY,DY,Dycom Industries,S&P MidCap 400,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
EA,EA,Electronic Arts,S&P 500,Communication Services,Entertainment,Interactive Home Entertainment,2026-07-15
EAT,EAT,"Brinker International, Inc.",S&P SmallCap 600,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,2026-07-15
EBAY,EBAY,eBay Inc.,S&P 500,Consumer Discretionary,Broadline Retail,Broadline Retail,2026-07-15
EBC,EBC,"Eastern Bankshares, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
ECG,ECG,"Everus Construction Group, Inc.",S&P SmallCap 600,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
ECHO,ECHO,EchoStar,S&P 500,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,2026-07-15
ECL,ECL,Ecolab,S&P 500,Materials,Chemicals,Specialty Chemicals,2026-07-15
ECPG,ECPG,"Encore Capital Group, Inc.",S&P SmallCap 600,Financials,Consumer Finance,Consumer Finance,2026-07-15
ED,ED,Consolidated Edison,S&P 500,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
EEFT,EEFT,Euronet Worldwide,S&P MidCap 400,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
EFC,EFC,"Ellington Financial, Inc.",S&P SmallCap 600,Financials,Financial Services,Specialized Finance,2026-07-15
EFOR,EFOR,Everforth Inc.,S&P SmallCap 600,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
EFX,EFX,Equifax,S&P 500,Industrials,Professional Services,Research & Consulting Services,2026-07-15
EG,EG,Everest Group,S&P 500,Financials,Insurance,Reinsurance,2026-07-15
EGBN,EGBN,Eagle Bancorp Inc,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
EGP,EGP,EastGroup Properties,S&P MidCap 400,Real Estate,Industrial REITs,Industrial REITs,2026-07-15
EHC,EHC,Encompass Health,S&P MidCap 400,Health Care,Health Care Providers & Services,Health Care Facilities,2026-07-15
EIG,EIG,"Employers Holdings, Inc.",S&P SmallCap 600,Financials,Insurance,Property & Casualty Insurance,2026-07-15
EIX,EIX,Edison International,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
EL,EL,Estée Lauder Companies (The),S&P 500,Consumer Staples,Personal Care Products,Personal Care Products,2026-07-15
ELAN,ELAN,Elanco,S&P MidCap 400,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
ELF,ELF,e.l.f. Beauty,S&P MidCap 400,Consumer Staples,Personal Care Products,Personal Care Products,2026-07-15
ELS,ELS,Equity Lifestyle Properties,S&P MidCap 400,Real Estate,Residential REITs,Single-Family Residential REITs,2026-07-15
ELV,ELV,Elevance Health,S&P 500,Health Care,Health Care Providers & Services,Managed Health Care,2026-07-15
EME,EME,Emcor,S&P 500,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
EMN,EMN,Eastman Chemical Company,S&P SmallCap 600,Materials,Chemicals,Specialty Chemicals,2026-07-15
EMR,EMR,Emerson Electric,S&P 500,Industrials,Electrical Equipment,Electrical Components & Equipment,2026-07-15
ENOV,ENOV,Enovis,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
ENPH,ENPH,Enphase Energy,S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
ENR,ENR,Energizer,S&P SmallCap 600,Consumer Staples,Household Products,Household Products,2026-07-15
ENS,ENS,EnerSys,S&P MidCap 400,Industrials,Electrical Equipment,Electrical Components & Equipment,2026-07-15
ENSG,ENSG,Ensign Group,S&P MidCap 400,Health Care,Health Care Providers & Services,Health Care Facilities,2026-07-15
ENTG,ENTG,Entegris,S&P MidCap 400,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
ENVA,ENVA,"Enova International, Inc.",S&P SmallCap 600,Financials,Consumer Finance,Consumer Finance,2026-07-15
EOG,EOG,EOG Resources,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
EPAC,EPAC,Enerpac Tool Group,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
EPAM,EPAM,EPAM Systems,S&P SmallCap 600,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
EPC,EPC,Edgewell Personal Care,S&P SmallCap 600,Consumer Staples,Household Products,Household Products,2026-07-15
EPR,EPR,EPR Properties,S&P MidCap 400,Real Estate,Specialized REITs,Other Specialized REITs,2026-07-15
EPRT,EPRT,"Essential Properties Realty Trust, Inc.",S&P SmallCap 600,Real Estate,Diversified REITs,Diversified REITs,2026-07-15
EQH,EQH,Equitable Holdings,S&P MidCap 400,Financials,Financial Services,Diversified Financial Services,2026-07-15
EQIX,EQIX,Equinix,S&P 500,Real Estate,Specialized REITs,Data Center REITs,2026-07-15
EQR,EQR,Equity Residential,S&P 500,Real Estate,Residential REITs,Multi-Family Residential REITs,2026-07-15
EQT,EQT,EQT Corporation,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
ERIE,ERIE,Erie Indemnity,S&P 500,Financials,Insurance,Insurance Brokers,2026-07-15
ES,ES,Eversource Energy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
ESAB,ESAB,ESAB,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
ESE,ESE,ESCO Technologies Inc.,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
ESI,ESI,Element Solutions,S&P SmallCap 600,Materials,Chemicals,Specialty Chemicals,2026-07-15
ESNT,ESNT,Essent Group Ltd.,S&P MidCap 400,Financials,Financial Services,Commercial & Residential Mortgage Finance,2026-07-15
ESS,ESS,Essex Property Trust,S&P 500,Real Estate,Residential REITs,Multi-Family Residential REITs,2026-07-15
ETN,ETN,Eaton Corporation,S&P 500,Industrials,Electrical Equipment,Electrical Components & Equipment,2026-07-15
ETR,ETR,Entergy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
ETSY,ETSY,Etsy,S&P SmallCap 600,Consumer Discretionary,Broadline Retail,Broadline Retail,2026-07-15
EVR,EVR,Evercore,S&P MidCap 400,Financials,Capital Markets,Investment Banking & Brokerage,2026-07-15
EVRG,EVRG,Evergy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
EVTC,EVTC,"EVERTEC, Inc.",S&P SmallCap 600,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
EW,EW,Edwards Lifesciences,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
EWBC,EWBC,East West Bancorp,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
EXC,EXC,Exelon,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
EXE,EXE,Expand Energy,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
EXEL,EXEL,Exelixis,S&P MidCap 400,Health Care,Biotechnology,Biotechnology,2026-07-15
EXLS,EXLS,EXL Service,S&P MidCap 400,Industrials,Professional Services,Data Processing & Outsourced Services,2026-07-15
EXP,EXP,Eagle Materials,S&P MidCap 400,Materials,Construction Materials,Construction Materials,2026-07-15
EXPD,EXPD,Expeditors International,S&P 500,Industrials,Air Freight & Logistics,Air Freight & Logistics,2026-07-15
EXPE,EXPE,Expedia Group,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
EXPO,EXPO,"Exponent, Inc.",S&P MidCap 400,Industrials,Professional Services,Research & Consulting Services,2026-07-15
EXR,EXR,Extra Space Storage,S&P 500,Real Estate,Specialized REITs,Self-Storage REITs,2026-07-15
EXTR,EXTR,"Extreme Networks, Inc.",S&P SmallCap 600,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
EYE,EYE,National Vision Holdings,S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Other Specialty Retail,2026-07-15
EZPW,EZPW,"EZCORP, Inc.",S&P SmallCap 600,Financials,Consumer Finance,Consumer Finance,2026-07-15
F,F,Ford Motor Company,S&P 500,Consumer Discretionary,Automobiles,Automobile Manufacturers,2026-07-15
FA,FA,First Advantage Corporation,S&P SmallCap 600,Industrials,Professional Services,Human Resource & Employment Services,2026-07-15
FAF,FAF,First American Financial Corporation,S&P MidCap 400,Financials,Insurance,Property & Casualty Insurance,2026-07-15
FANG,FANG,Diamondback Energy,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
FAST,FAST,Fastenal,S&P 500,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,2026-07-15
FBIN,FBIN,Fortune Brands Innovations,S&P MidCap 400,Industrials,Building Products,Building Products,2026-07-15
FBK,FBK,FB Financial Corp.,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FBNC,FBNC,First Bancorp (Southern Pines NC),S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FBP,FBP,First BanCorp (Puerto Rico),S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FBRT,FBRT,"Franklin BSP Realty Trust, Inc.",S&P SmallCap 600,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,2026-07-15
FCF,FCF,"First Commonwealth Financial, Corp.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FCFS,FCFS,FirstCash,S&P MidCap 400,Financials,Consumer Finance,Consumer Finance,2026-07-15
FCN,FCN,FTI Consulting,S&P MidCap 400,Industrials,Professional Services,Research & Consulting Services,2026-07-15
FCPT,FCPT,"Four Corners Property Trust, Inc.",S&P SmallCap 600,Real Estate,Specialized REITs,Other Specialized REITs,2026-07-15
FCX,FCX,Freeport-McMoRan,S&P 500,Materials,Metals & Mining,Copper,2026-07-15
FDS,FDS,FactSet,S&P 500,Financials,Capital Markets,Financial Exchanges & Data,2026-07-15
FDX,FDX,FedEx,S&P 500,Industrials,Air Freight & Logistics,Air Freight & Logistics,2026-07-15
FDXF,FDXF,FedEx Freight,S&P 500,Industrials,Ground Transportation,Cargo Ground Transportation,2026-07-15
FE,FE,FirstEnergy,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
FELE,FELE,Franklin Electric,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
FFBC,FFBC,First Financial Bancorp,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FFIN,FFIN,First Financial Bankshares,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
FFIV,FFIV,"F5, Inc.",S&P 500,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
FG,FG,"F&G Annuities & Life, Inc.",S&P SmallCap 600,Financials,Insurance,Life & Health Insurance,2026-07-15
FHB,FHB,"First Hawaiian, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FHI,FHI,Federated Hermes,S&P MidCap 400,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
FHN,FHN,First Horizon,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
FIBK,FIBK,"First Interstate BancSystem, Inc.",S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FICO,FICO,Fair Isaac,S&P 500,Information Technology,Software,Application Software,2026-07-15
FIS,FIS,Fidelity National Information Services,S&P 500,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
FISV,FISV,Fiserv,S&P 500,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
FITB,FITB,Fifth Third Bancorp,S&P 500,Financials,Banks,Regional Banks,2026-07-15
FIVE,FIVE,Five Below,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Other Specialty Retail,2026-07-15
FIX,FIX,Comfort Systems USA,S&P 500,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
FIZZ,FIZZ,National Beverage Corp.,S&P SmallCap 600,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,2026-07-15
FLEX,FLEX,Flex Ltd.,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,2026-07-15
FLG,FLG,Flagstar Bank,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
FLO,FLO,Flowers Foods,S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
FLR,FLR,Fluor,S&P MidCap 400,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
FLS,FLS,Flowserve,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
FMC,FMC,FMC Corporation,S&P SmallCap 600,Materials,Chemicals,Fertilizers & Agricultural Chemicals,2026-07-15
FN,FN,Fabrinet,S&P MidCap 400,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,2026-07-15
FNB,FNB,FNB Corporation,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
FND,FND,Floor & Decor,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Home Improvement Retail,2026-07-15
FNF,FNF,Fidelity National Financial,S&P MidCap 400,Financials,Insurance,Property & Casualty Insurance,2026-07-15
FORM,FORM,"FormFactor, Inc.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
FOUR,FOUR,Shift4,S&P MidCap 400,Financials,Financial Services,Transaction & Payment Processing Services,2026-07-15
FOX,FOX,Fox Corporation (Class B),S&P 500,Communication Services,Media,Broadcasting,2026-07-15
FOXA,FOXA,Fox Corporation (Class A),S&P 500,Communication Services,Media,Broadcasting,2026-07-15
FOXF,FOXF,Fox Factory,S&P SmallCap 600,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
FR,FR,First Industrial Realty Trust,S&P MidCap 400,Real Estate,Industrial REITs,Industrial REITs,2026-07-15
FRPT,FRPT,Freshpet,S&P SmallCap 600,Consumer Staples,Food Products,Packaged Foods & Meats,2026-07-15
FRT,FRT,Federal Realty Investment Trust,S&P 500,Real Estate,Retail REITs,Retail REITs,2026-07-15
FSLR,FSLR,First Solar,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
FSS,FSS,Federal Signal Corporation,S&P SmallCap 600,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
FTDR,FTDR,"Frontdoor, Inc.",S&P SmallCap 600,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,2026-07-15
FTI,FTI,TechnipFMC,S&P MidCap 400,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
FTNT,FTNT,Fortinet,S&P 500,Information Technology,Software,Systems Software,2026-07-15
FTRE,FTRE,Fortrea,S&P SmallCap 600,Health Care,Biotechnology,Biotechnology,2026-07-15
FTV,FTV,Fortive,S&P 500,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
FUL,FUL,H.B. Fuller Company,S&P SmallCap 600,Materials,Chemicals,Specialty Chemicals,2026-07-15
FULT,FULT,Fulton Financial Corporation,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
FUN,FUN,Six Flags,S&P SmallCap 600,Consumer Discretionary,"Hotels, Restaurants & Leisure",Leisure Facilities,2026-07-15
G,G,Genpact,S&P MidCap 400,Industrials,Professional Services,Data Processing & Outsourced Services,2026-07-15
GAP,GAP,Gap Inc.,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Apparel Retail,2026-07-15
GATX,GATX,GATX,S&P MidCap 400,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
GBCI,GBCI,Glacier Bancorp,S&P MidCap 400,Financials,Banks,Regional Banks,2026-07-15
GBX,GBX,"The Greenbrier Companies, Inc.",S&P SmallCap 600,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
GD,GD,General Dynamics,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
GDDY,GDDY,GoDaddy,S&P 500,Information Technology,IT Services,Internet Services & Infrastructure,2026-07-15
GE,GE,GE Aerospace,S&P 500,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
GEF,GEF,"Greif, Inc.",S&P MidCap 400,Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",2026-07-15
GEHC,GEHC,GE HealthCare,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
GEN,GEN,Gen Digital,S&P 500,Information Technology,Software,Systems Software,2026-07-15
GEO,GEO,"GEO Group, Inc.",S&P SmallCap 600,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,2026-07-15
GEV,GEV,GE Vernova,S&P 500,Industrials,Electrical Equipment,Heavy Electrical Equipment,2026-07-15
GFF,GFF,Griffon Corporation,S&P SmallCap 600,Industrials,Building Products,Building Products,2026-07-15
GGG,GGG,Graco Inc.,S&P MidCap 400,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
