model,term,estimate,standard_error,t_statistic,observations,r_squared,adjusted_r_squared,f_statistic
log_return_on_log_volatility,intercept,2.1080657191102157,1.4241697147001435,1.4802068161897863,78,0.46410301302865387,0.4570517368842941,65.81830062064455
log_return_on_log_volatility,log_volatility,1.90975096687036,0.23539834551533798,8.112847873630978,78,0.46410301302865387,0.4570517368842941,65.81830062064455
log_return_on_log_volatility_and_turnover,intercept,2.3219922017906938,1.6053954452717702,1.4463677523375644,78,0.46472588314022434,0.4504519066906303,32.55756269329155
log_return_on_log_volatility_and_turnover,log_volatility,1.9474343956539817,0.2689927526198196,7.2397281216211224,78,0.46472588314022434,0.4504519066906303,32.55756269329155
log_return_on_log_volatility_and_turnover,log_turnover,-0.06442689122370465,0.21808506255386337,-0.29542092644603885,78,0.46472588314022434,0.4504519066906303,32.55756269329155
correlation_on_turnover_tensors,intercept,0.21106586980044545,0.003331648744715333,63.351777445097866,5050,0.03749929359940607,0.037117878617674016,98.31625760772816
correlation_on_turnover_tensors,turnover_sum,0.013171332176034526,0.005167458882949924,2.5488992702957836,5050,0.03749929359940607,0.037117878617674016,98.31625760772816
correlation_on_turnover_tensors,turnover_product,0.22009925758395305,0.015974571223179936,13.778101115138385,5050,0.03749929359940607,0.037117878617674016,98.31625760772816
log_volatility_on_log_turnover,intercept,-6.00365985265951,0.038804408798689,-154.71592116776026,101,0.20142387501904224,0.1933574495141841,24.970648386665296
log_volatility_on_log_turnover,log_turnover,0.37479409056978963,0.07500286014379966,4.997063976643204,101,0.20142387501904224,0.1933574495141841,24.970648386665296
