alpha_i,alpha_j,observations,correlation,turnover_sum,turnover_product,demeaned_correlation,turnover_model_contribution
alpha002,alpha001,883,-0.26727817807076604,0.2259065543431057,-0.042635419392097904,-0.47788200586858165,-0.0064085338869847835
alpha003,alpha001,883,-0.13551104553444707,0.012812241961593862,-0.11685878609971584,-0.3461148733322627,-0.025551777767913546
alpha003,alpha002,883,0.30072456121682306,-0.4579057722077878,0.041067127562965274,0.09012073341900742,0.0030076152566417807
alpha004,alpha001,883,-0.5988230273870443,0.5541483300864751,0.07169522330540078,-0.8094268551848599,0.02307893715219823
alpha004,alpha002,883,0.5265664707286429,0.08343031591709349,-0.0251955114322836,0.3159626429308273,-0.004446624956198083
alpha004,alpha003,883,0.37595185535649633,-0.12966399646441834,-0.06905800208180612,0.1653480275586807,-0.016907462557141633
alpha005,alpha001,883,-0.5680139649241882,0.5473517973526104,0.06932790746384603,-0.7786177927220038,0.022468373302722274
alpha005,alpha002,883,0.5514177811407461,0.07663378318322878,-0.024363576882116357,0.3408139533429305,-0.004353036169630857
alpha005,alpha003,883,0.2825406069424421,-0.13646052919828305,-0.06677776506213755,0.07193677914462646,-0.016495103472280156
alpha005,alpha004,883,0.7508818091793554,0.4048755589265982,0.040969506339730705,0.5402779813815398,0.01435010840553565
alpha006,alpha001,883,-0.1467605129908371,0.016300171544996356,-0.11564389737919599,-0.35736434078865276,-0.0252384409833304
alpha006,alpha002,883,0.26611530802088446,-0.4544178426243853,0.04064018499642326,0.055511480223068815,0.002959586193864507
alpha006,alpha003,883,0.6240934146053793,-0.6675121550058971,0.11139007785695951,0.41348958680756365,0.015724849113412195
alpha006,alpha004,883,0.421025764913304,-0.12617606688101585,-0.06834006044822427,0.21042193711548837,-0.016703503457452043
alpha006,alpha005,883,0.2768074236251714,-0.13297259961488056,-0.0660835292561427,0.06620359582735577,-0.016296362007642885
alpha007,alpha001,883,-0.2778116926407009,0.43906274755397245,0.03160950116854433,-0.48841552043851655,0.012740269033951465
alpha007,alpha002,883,0.4135861465913014,-0.031655266615409156,-0.011108376699913934,0.20298231879348574,-0.0028618874963264296
alpha007,alpha003,883,0.4004882705329146,-0.24474957899692099,-0.030446784274647084,0.18988444273509894,-0.009924992619581649
alpha007,alpha004,883,0.6210045613429268,0.29658650912796025,0.01867971652246605,0.4104007335451112,0.00801783116912834
alpha007,alpha005,883,0.5734432344235264,0.28978997639409554,0.018062928028049645,0.3628394066257108,0.00779255708913794
alpha007,alpha006,883,0.428809702223135,-0.2412616494135185,-0.030130253049003453,0.21820587442531938,-0.009809383652665735
alpha008,alpha001,883,-0.38901953328628447,0.13635674289435823,-0.07382671877252706,-0.5996233610841001,-0.014453206036588766
alpha008,alpha002,883,0.4212704060379992,-0.3343612712750234,0.025944572749535894,0.21066657824018356,0.0013063978297411854
alpha008,alpha003,883,0.18276207491725263,-0.5474555836565352,0.07111109309149796,-0.02784175288056301,0.008440779451456992
alpha008,alpha004,883,0.5967605436366619,-0.006119495531653973,-0.043628090525736574,0.38615671583884625,-0.00968311224291729
alpha008,alpha005,883,0.6414022377273562,-0.012916028265518686,-0.0421875277507465,0.43079840992954055,-0.00945556483592192
alpha008,alpha006,883,0.1858982516193687,-0.5439676540731327,0.07037180708841574,-0.02470557617844693,0.008324003830185998
alpha008,alpha007,883,0.4107725550728861,-0.12120507806415662,-0.019235063577112025,0.20016872727507048,-0.005830055557507696
alpha009,alpha001,883,-0.4729666559157699,0.9462815769660919,0.20828005025885765,-0.6835704837135855,0.05830607341380517
alpha009,alpha002,883,0.12177365108565544,0.47556356279671036,-0.07319486773979184,-0.0888301767121602,-0.00984633039206989
alpha009,alpha003,883,-0.002301756808750199,0.26246925041519853,-0.20061872299505595,-0.21290558460656583,-0.04069896230543918
alpha009,alpha004,883,0.3275419656139549,0.8038053385400799,0.12308363473929543,0.11693813781613924,0.037677803745634654
alpha009,alpha005,883,0.42035846067273913,0.797008805806215,0.11901951686754703,0.2097546328749235,0.03669377502904613
alpha009,alpha006,883,0.07176329952859635,0.265957179998601,-0.198533048209047,-0.13884052826921928,-0.040193966154327423
alpha009,alpha007,883,0.17887403787346584,0.6887197560075772,0.05426599035123395,-0.0317297899243498,0.021015260870937802
alpha009,alpha008,883,0.22475045998598445,0.3860137513479629,-0.12674290515409964,0.014146632188168806,-0.02281170398492949
alpha010,alpha001,883,-0.31295205358398387,0.9437408836607393,0.20739509557007568,-0.5235558813817995,0.058077831228326604
alpha010,alpha002,883,0.06086352706264008,0.4730228694913576,-0.07288387232126471,-0.14974030073517555,-0.00981134484682229
alpha010,alpha003,883,-0.06757893190471141,0.25992855710984575,-0.19976632028365235,-0.27818275970252704,-0.04054481341697892
alpha010,alpha004,883,0.1945429593293462,0.801264645234727,0.12256066847565428,-0.016060868468469436,0.03752923494378355
alpha010,alpha005,883,0.3080957044704964,0.7944681125008624,0.1185138185091224,0.09749187667268075,0.03654900688031322
alpha010,alpha006,883,0.009784980124415442,0.26341648669324824,-0.1976895072569855,-0.2008188476734002,-0.04004176773251925
alpha010,alpha007,883,0.10633538858651448,0.6861790627022244,0.05403542125667575,-0.10426843921130116,0.020931048468921507
alpha010,alpha008,883,0.12804030040703435,0.3834730580426101,-0.12620439112912907,-0.0825635273907813,-0.02272664176331715
alpha010,alpha009,883,0.9533775953443834,1.1933978921143438,0.35604801844512185,0.7427737675465678,0.09408454457922637
alpha011,alpha001,883,-0.27272214536114775,0.7219723606521082,0.13015039474480614,-0.4833259731589634,0.03815534304165497
alpha011,alpha002,883,0.21148485969241357,0.25125434648272665,-0.045738134390634705,0.0008810318945979279,-0.006757574964457304
alpha011,alpha003,883,0.10056886174426093,0.038160034101214824,-0.12536297143463465,-0.11003496605355471,-0.027089678456285494
alpha011,alpha004,883,0.39757821926935005,0.5794961222260961,0.07691271260994698,0.1869743914715344,0.02456116686478109
alpha011,alpha005,883,0.43133835328917636,0.5726995894922313,0.07437311966938409,0.22073452549136072,0.023912684953714725
alpha011,alpha006,883,0.10247346285557664,0.04164796368461732,-0.12405967140003708,-0.108130364942239,-0.02675688240711182
alpha011,alpha007,883,0.5056714638757595,0.46441053969359347,0.033909825048789456,0.29506763607794384,0.01358043280239608
alpha011,alpha008,883,0.25753577241395215,0.1617045350339792,-0.07919932377780896,0.046931944616136506,-0.015301848219343118
alpha011,alpha009,883,0.15369037343690709,0.971629369105713,0.22343725159634306,-0.056913454360908555,0.06197602636543624
alpha011,alpha010,883,0.08781417346192966,0.9690886758003602,0.2224878959417665,-0.12278965433588598,0.06173360957519858
alpha012,alpha001,883,-0.27854795423011924,0.9009290513755972,0.1924832084736427,-0.48915178202793486,0.054231847085133685
alpha012,alpha002,883,0.2296271320558302,0.4302110372062156,-0.06764345874148306,0.019023304258014573,-0.009221822572571765
alpha012,alpha003,883,0.0822194619265531,0.2171167248247038,-0.18540294874127577,-0.12838436587126253,-0.03794733486819164
alpha012,alpha004,883,0.36109178039919165,0.7584528129495851,0.11374845020333361,0.150487952601376,0.035025783380285745
alpha012,alpha005,883,0.329871383845895,0.7516562802157203,0.10999257225632443,0.11926755604807934,0.03410959804229006
alpha012,alpha006,883,0.10319316185587746,0.22060465440810628,-0.18347546037095594,-0.10741066594193818,-0.03747715542973293
alpha012,alpha007,883,0.2224418899289098,0.6433672304170824,0.05015022764217445,0.011838062131094146,0.019512031374707573
alpha012,alpha008,883,0.1544674133672776,0.34066122575746816,-0.11713018604043757,-0.056136414430538045,-0.02129330482422391
alpha012,alpha009,883,0.20548873122534606,1.150586059829202,0.3304478573739628,-0.005115096572469585,0.08788607926934237
alpha012,alpha010,883,0.1664634191750186,1.1480453665238493,0.329043827653317,-0.04414040862279703,0.0875435890547202
alpha012,alpha011,883,0.1952096050523537,0.9262768435152182,0.2064908234194534,-0.015394222745461927,0.05764877692542853
alpha013,alpha001,883,-0.35356988066569434,0.279562545729376,-0.023946378468312757,-0.56417370846351,-0.0015883689689205425
alpha013,alpha002,883,0.5652176243788576,-0.19115546844000564,0.00841536192571862,0.354613796581042,-0.0006655572599378651
alpha013,alpha003,883,0.5425820456133013,-0.40424978082151747,0.023065540183510216,0.33197821781548564,-0.00024779987512592305
alpha013,alpha004,883,0.6097774706033501,0.1370863073033638,-0.014151174330232762,0.39917364280553447,-0.0013090536737467727
alpha013,alpha005,883,0.5342091869618031,0.13028977456949908,-0.013683914481890266,0.32360535916398747,-0.0012957295183108229
