model,term,estimate,standard_error,t_statistic,observations,r_squared,adjusted_r_squared,f_statistic
log_return_on_log_volatility,intercept,9.146492787912976,8.556424749354369,1.0689619853903503,65,0.06416172762973082,0.04930715187782175,4.319324139666872
log_return_on_log_volatility,log_volatility,3.7813116526532173,1.8194267465911516,2.078298375979039,65,0.06416172762973082,0.04930715187782175,4.319324139666872
log_return_on_log_volatility_and_turnover,intercept,9.044340457927236,8.711452172956635,1.038212720263104,65,0.06426640994382238,0.034081455425881146,2.1290875195993424
log_return_on_log_volatility_and_turnover,log_volatility,3.7591983924756174,1.853059678693283,2.0286439965746172,65,0.06426640994382238,0.034081455425881146,2.1290875195993424
log_return_on_log_volatility_and_turnover,log_turnover,0.027154330679121815,0.3260488781446597,0.08328300601320922,65,0.06426640994382238,0.034081455425881146,2.1290875195993424
correlation_on_turnover_tensors,intercept,0.11537730289319649,0.002018540986436174,57.15876153542979,5050,0.0831583881461313,0.08279506672276948,228.88380040085843
correlation_on_turnover_tensors,turnover_sum,-0.0013487974585756153,0.0036881711746251052,-0.3657090180237412,5050,0.0831583881461313,0.08279506672276948,228.88380040085843
correlation_on_turnover_tensors,turnover_product,0.28680531186646474,0.013406664504222123,21.3927417797426,5050,0.0831583881461313,0.08279506672276948,228.88380040085843
log_volatility_on_log_turnover,intercept,-4.705716231492964,0.0076820343376973734,-612.561207700025,101,0.07832709851782627,0.06901727123012746,8.413378261197337
log_volatility_on_log_turnover,log_turnover,0.054569949445842016,0.018813445685711812,2.9005824003460505,101,0.07832709851782627,0.06901727123012746,8.413378261197337
